p01,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64
05_Excelente,5,5,5,5,5,5,5,5,5,los limites porque queda super claro el contenido,al haber repasado antes de hacer el cuestionario del curso,5,5,5,5,5,5,5,5,creo que los contenidos pasados en el curso complementan bastante lo que se espera aprender de las clases de catedra,5,4,5,5,5,,5,5,5,5,5,5,5,sin observaciones,5,5,5,5,5,5,4,4,5,4,4,4,4,5,5,5,4,5,5,Algo pesada,Algo más fácil,Algo largo,Similar,1,1,1,1,que tomen el taller es muy bueno
03_Neutral,4,4,3,4,3,5,4,3,4,video didactico,explicacion paso paso,3,3,4,4,3,3,3,3,examen final demaciado extenso,2,2,3,2,2,supe como comunicarme con el,4,4,3,3,5,5,4,contacte con ellos,4,3,3,4,3,5,4,3,4,4,4,3,4,4,3,4,4,3,4,Algo pesada,Algo más difícil,Algo largo,Mejor,1,0,0,0,que lo hagan con mas anticipacion
04_Muy bueno,5,5,5,5,5,5,5,5,4,en la evaluación final deje mi computador encendido y al momento de retomar mi sobrino presiono un botón el cual desconozco cuál fue y logre ver ninguna pregunta,es muy bueno que sea interactivo y así lograr estudiar en horarios que se puedan manejar,5,5,5,5,5,4,4,4,sin comentarios,3,5,5,5,5,seria ideal que entregue más ejemplos,5,5,5,5,5,5,5,podía ingresar este curso debido tener problemas con las credenciales,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Similar,Apropiado,Mejor,0,1,0,0,verificar las respuestas
03_Neutral,2,2,3,5,5,3,4,5,3,nada,tener mas tiempo,2,1,2,1,1,2,5,5,malo,3,2,2,2,2,lo use,2,3,3,3,3,3,3,lo use,2,2,3,2,2,2,3,2,2,3,3,2,2,3,3,2,2,3,3,Apropiada,Algo más difícil,Algo largo,Peor,0,0,1,0,tomarse el tiempo
05_Excelente,5,5,5,5,5,5,5,5,5,los videos interactivos ya que puedes avanzar y retroceder el video y así entender mejor los procedimientos de distinción ejercicios matemáticos,enviando recordatorios al correo,5,5,5,5,5,5,5,5,en resumen todos los elementos evaluados contribuyeron significativamente mi aprendizaje proporcionando recursos valiosos y soporte que facilitaron mi proceso educativo en este curso de matemáticas,5,4,5,4,5,con todas las dudas se puede resolver muy bien,5,4,5,5,4,5,5,en general excelente,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Algo más fácil,Demasiado largo,Mucho mejor,0,1,1,0,que se den por vencidos
03_Neutral,4,4,4,4,4,4,4,4,4,las actividades de los videos,mejorando la explicacion de los videos,4,4,4,4,4,4,4,4,todo,3,5,5,5,5,todo,5,5,5,5,5,5,5,todo lo necesité,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Similar,Apropiado,Mejor,0,0,1,0,todo
03_Neutral,4,4,4,4,4,4,4,4,4,el explicar todos los ejercicios aunque fue mal hay que seguir repasando,que solo fuera la alternativa de aser los ejercicios,4,4,4,4,4,4,4,4,sin comentarios,4,4,4,4,4,,4,4,4,4,4,4,4,sin comentarios,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Mucho más fácil,Algo corto,Mucho mejor,1,1,1,1,tomar todas las ayudas que orese la casa de estudio tales como los talleres
04_Muy bueno,5,5,5,5,5,5,5,5,5,integrales,mas corto,3,2,5,5,5,5,5,5,buen material,5,5,5,5,5,buena,5,5,5,5,5,5,5,bueno,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Algo pesada,Mucho más difícil,Demasiado largo,Similar,1,1,1,1,mas corto
04_Muy bueno,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,4,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Algo pesada,Algo más difícil,Algo largo,Mejor,1,1,1,1,
04_Muy bueno,5,5,5,5,5,5,5,5,5,videos,nada,5,5,5,5,5,5,5,5,,5,3,3,3,3,,3,3,3,3,3,3,3,sin comentarios,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Similar,Apropiado,Mucho mejor,1,0,0,0,estudiar
04_Muy bueno,5,5,5,5,5,5,5,5,5,la variedad de módulos,sin comentarios,5,5,5,5,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Similar,Apropiado,Mucho mejor,1,1,1,1,que tome el taller con total seguridad
04_Muy bueno,5,5,5,5,5,5,5,5,5,la forma de interactuar en el video con los apredido,mas compacto,5,5,5,5,5,5,5,5,,5,5,5,5,5,lo encontre muy bueno explicando,5,5,4,5,5,5,5,fue necesario el soporte,5,5,5,5,5,5,4,4,4,4,5,5,4,4,4,5,5,5,5,Algo pesada,Similar,Algo largo,Mejor,1,1,1,1,que lo aprovechen y que se recomiende y force realizar en el inicio del bimestre
05_Excelente,4,4,4,5,4,4,4,3,3,el poder entender de mejor forma como desarrollar la unidad de derivadas e integrales,ayudo nivelar mis dificultades respecto entender la materia de la asignatura calculo,4,4,4,4,4,5,4,5,se pueden mejorar algunos aprendizajes de las capsulas haciendo mas didactico y explicativos las imagenes graficas,4,4,4,4,4,el desempeño y explicación respecto cada modulo que se presento fue bueno en lo explicativo y desarrollo,4,4,4,4,4,4,4,fue bueno el equipo de soporte la comunicación fue clara teniendo un buen desempeño,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Algo más difícil,Algo largo,Similar,0,1,0,1,que tomen y realicen este taller ya que es muy importante generar una nivelación respecto las dudas que tenemos en la asignatura ayudando desempeñarnos de mejor manera en las unidades que contiene la asignatura
05_Excelente,5,5,5,5,5,5,5,5,5,limites y continuidad,lo encontre practico y sensillo pero sin duda genera un aprendizaje enorme,5,5,5,5,5,5,5,5,las metodologias que se indican son practica y contribuyente,1,5,5,5,5,contenido del taller metodologico y practico,5,5,5,5,5,5,5,el equipo de soporte brinda respuesta en forma oportuna,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Algo más difícil,Apropiado,Mucho mejor,1,1,1,1,que sean disciplinados con la metodologia de estudio
04_Muy bueno,5,5,5,4,5,5,5,4,4,la metodologia de la plataforma,si pudiera tener mayor materia de contenido incial del calculo,5,3,5,5,5,5,5,5,fue poco el uso realizado,5,5,4,4,5,fue muy poco el uso de la plataforma por mi parte solo dedique ver las capsula,4,4,4,4,4,4,4,tuve contacto con ellos,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,Muy pesada,Mucho más difícil,Algo largo,Mucho mejor,0,1,0,0,mi caso son años que veo calculo y matematica directa por lo que seria bueno haber visto materia de instroducción al calculo
04_Muy bueno,4,4,4,4,5,4,4,4,4,matricez,mas videos,4,4,4,4,4,4,4,4,bueno,4,3,4,3,4,bueno,3,3,4,4,4,3,3,bueno,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,5,4,4,Apropiada,Algo más fácil,Apropiado,Mucho mejor,0,1,0,0,realizar el curso
01_Deficiente,4,4,2,5,4,5,3,2,5,los videos se podían ver tanto en pc como celular y fue excelente para poder organizar mis tiempos la retroalimentación con el profesor fue muy buena su información fue relevante y con prontitud gracias,debí haber tenido una mejor base de cálculo y álgebra quizás era muy avanzado para mi nivel que aún está pobre después de muchos años sin estudio,3,5,3,5,5,5,5,5,con respecto los videos la falencia que tiene es que son muy rápidos y pocos ejemplos para poder entender mejor,3,5,5,5,5,siempre enviando mensajes para dejar pasar muchos días entre un curso y otro eso fue bueno porque de cierta forma es una presión para poder organizarse con los contenidos además debo decir que las consultas que realicé por mensaje fueron respondidas rápidamente y con claridad,5,5,5,5,5,5,5,tuve oportunidad ni necesidad de comunicarme con el equipo de soporte,5,5,5,5,5,2,2,2,2,2,1,1,2,1,1,1,2,1,1,Muy pesada,Mucho más difícil,Algo corto,No tengo experiencia previa,0,1,0,0,quizás si es el mismo caso mío de dejar de estudiar por muchos años es mejor tomarlo ya que sentí con temor defraudada y desanimada sé que debo comenzar estudiar para poder estar al día con cálculo superior que debo cursar este bimestre gracias por todo este taller que sé que será de mucha ayuda para muchos alumnos
04_Muy bueno,5,5,4,4,4,4,5,4,4,capitulo,esta excelente requiere mejoras,5,2,4,2,3,3,3,3,capitulo derivadas,4,3,3,3,3,tuve contacto con nadie,4,4,4,4,4,4,4,excelente la presentación,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Algo más difícil,Apropiado,Mejor,0,1,0,0,que realicen el taller ya que nos sirve para nivelar los conocimientos
04_Muy bueno,5,5,5,5,5,5,5,5,5,funciones y matrices,parece bien,5,4,5,4,5,5,5,5,demasiadas preguntas test de inicico,4,4,4,4,4,sin observacion,4,4,4,4,4,4,4,sin observacion,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Algo pesada,Algo más difícil,Algo largo,Mejor,0,1,0,0,les ayudara nivelarse en matematicas
03_Neutral,4,4,3,4,4,3,3,4,4,los limites muy bien explicados,clases con docentes en línea,4,3,4,4,4,3,2,3,utilice las preguntas frecuentes las encontré durante el curso,4,5,5,5,5,contacte al tutor,5,5,5,5,5,5,5,utilice este servicio,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,3,4,3,Muy pesada,Algo más difícil,Demasiado largo,Peor,0,1,0,0,clases con docentes en línea
04_Muy bueno,5,5,5,5,5,5,5,5,5,volver repasar la parte de solido y revoluciones y matrices,volver recordar materias,5,5,5,5,5,5,5,5,,4,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Algo más fácil,Apropiado,No tengo experiencia previa,1,1,1,1,
05_Excelente,5,5,5,5,5,5,5,5,5,bien,bien,5,5,5,5,5,5,5,5,bien,4,5,5,5,5,bien,5,5,5,5,5,5,5,bien,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo ligera,Algo más fácil,Demasiado largo,No tengo experiencia previa,0,1,0,0,bien
05_Excelente,5,5,5,5,5,5,5,5,5,buenisimo,buenisimo,5,5,5,5,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Similar,Apropiado,Similar,0,0,1,0,
04_Muy bueno,5,5,5,5,5,5,5,5,5,el ir desarrollando ejercicios en cada explicacion,mucho para recordad,5,5,5,5,5,5,5,5,todo bien,5,5,5,5,5,tuve comunicacion fue necesario,5,5,5,5,5,5,5,lo use,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Algo más fácil,Apropiado,No tengo experiencia previa,0,1,0,0,que lo aprovechen
04_Muy bueno,5,5,5,4,5,5,5,5,3,todos los capítulos fueron muy buenos ya que es un repaso de lo que ya ví en algún momento de mi carrera,más ejercicios de alternativas,5,5,5,5,5,5,5,3,ingresé al foro de consulta supe donde encontrarlo,5,4,4,4,4,ingresé al foro,5,5,5,5,5,5,5,muy bien explicado cada cápsula,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Algo más difícil,Algo largo,Mucho mejor,1,0,0,0,aprovechar el taller es una muy buena herramienta para recordar o relacionarse con la materia que hace mucho tiempo se ve
04_Muy bueno,5,5,5,5,5,5,5,5,5,gusto limites aclare muchas dudas,con mayor tiempo en el taller como realizarlo antes del inicio del año academico,4,5,5,5,5,5,5,5,gusto el material complementario de pdf,5,4,4,4,4,tuve mayor experiencia,4,4,4,4,4,5,4,tuve mayor experiencia,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Muy pesada,Algo más difícil,Demasiado largo,No tengo experiencia previa,0,1,0,0,realizar el taller con mas tiempo
03_Neutral,5,4,3,5,5,5,5,5,3,modulo está mejor explicado que los demás,con más tiempo de disponibilidad,4,4,4,2,5,4,5,5,ninguno,4,5,5,5,5,tuve contacto,4,4,4,5,5,5,5,tuve contacto,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Algo pesada,Mucho más difícil,Apropiado,No tengo experiencia previa,0,1,0,0,
04_Muy bueno,5,4,5,5,4,5,4,4,3,buena información para este curso,sí,4,4,5,4,5,4,5,4,se mejorado,4,4,5,4,5,buena,4,5,4,5,5,4,5,que sea tan extenso,4,5,4,4,5,4,5,5,4,5,4,5,4,5,5,5,4,4,5,Apropiada,Algo más difícil,Demasiado largo,Mejor,1,0,0,0,que sea tan extensa
05_Excelente,5,5,5,5,5,5,5,5,5,las derivadas,sin comentario,4,4,4,4,5,4,4,4,sin comentarios,4,3,4,4,4,sin comentario,4,4,4,4,4,4,4,sin comentarios,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Similar,Apropiado,Mucho mejor,0,1,0,1,estudien mucha matematicas
04_Muy bueno,5,5,5,5,5,5,5,5,5,la explicación paso paso,disponiendo de mas tiempo para la cantidad de contenido,5,5,5,5,5,5,5,5,en primera instancia costo mucho en un principio entendia nada ahora con el taller logre entender algo,4,5,5,5,5,interacción clara,5,5,5,5,5,5,5,pagina estable,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Algo pesada,Algo más difícil,Apropiado,Similar,0,1,0,0,que tomen nota de cada capitulo para tener un apaunte disponible y guia para resolver ejercicios
05_Excelente,5,5,5,5,5,5,5,5,5,,,5,5,5,5,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Algo más difícil,Apropiado,Mejor,0,1,0,0,
04_Muy bueno,5,5,5,5,4,4,5,5,5,los videos y evaluaciones misma en cada capsula,pude deducir el calculo desde su base,5,5,5,4,4,4,4,4,realice en base lo aprendido igual hay cosas que están difíciles,5,5,4,5,5,bien,5,5,5,5,5,5,5,bien,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,4,5,4,Apropiada,Algo más difícil,Apropiado,Mejor,1,0,0,0,que tome notas comprensión ayudará las clases y pruebas de cálculo
04_Muy bueno,5,5,5,5,5,4,4,4,4,los ejercicios prácticos,con evaluaciones por unidad,4,4,4,5,5,5,5,5,simplemente todo el contenido esta acorde lo mínimo requerido para entender el contenido del modulo,5,3,3,4,4,con revisión del contenido basta y sobra,5,5,5,5,5,5,5,muy buena recepción y apoyo,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Mucho más fácil,Apropiado,Mejor,1,1,1,1,profundizar aún mas en el contenido
04_Muy bueno,5,5,5,5,5,5,5,5,5,todas ya que tienen un buen contenido y es didáctica,está ideal,5,5,5,5,5,5,5,5,todo muy bien,5,5,5,5,5,buena,5,5,5,5,5,5,5,buena,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Algo más fácil,Apropiado,No tengo experiencia previa,0,1,0,0,que realicen el taller
04_Muy bueno,5,4,5,5,5,5,5,5,5,las clases didacticas,nada,4,5,5,5,5,5,5,5,,4,4,4,4,4,,4,4,4,4,4,3,5,,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,Algo pesada,Algo más difícil,Apropiado,No tengo experiencia previa,0,1,0,0,
03_Neutral,4,4,3,5,5,3,5,1,2,los pdf explicativos de los videos,juegos y ejercicios mas interactivos,4,4,4,4,5,2,2,2,,4,1,1,3,1,,4,4,4,3,3,3,3,,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,Algo pesada,Algo más fácil,Algo largo,No tengo experiencia previa,0,1,0,0,estudien chicos
04_Muy bueno,4,5,5,5,5,4,4,4,4,los ejercicios de desarrollo aplicados,es bueno,5,5,5,5,5,5,5,5,si buena,5,5,4,5,5,buena,3,4,4,5,5,5,5,buena en general con disponibilidad,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,Muy pesada,Mucho más difícil,Algo largo,Mejor,0,1,0,0,que es difícil la compatibilidad de trabajo con los estudios pero con perseverancia y tiempo para refrescar los contenidos
04_Muy bueno,4,4,4,4,4,3,4,3,3,los problemas poruqe hacen pensar mas,recordar un poco mas la materia pasada,3,3,3,3,2,3,4,3,si,3,3,3,3,4,explicar un poco mas de lo básico,4,3,3,4,3,3,3,tiene que ser mas didactica,4,4,3,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,Algo pesada,Similar,Algo largo,Similar,0,1,0,0,que lo realicen para reforzar
03_Neutral,4,4,3,5,5,3,4,5,3,la interactividad,entregar ejemplos más sencillos,4,3,4,2,5,3,3,2,aplica,5,3,5,4,5,aplica,4,5,3,4,4,4,3,aplica,5,4,5,4,4,4,3,3,3,3,3,3,3,3,3,4,3,3,4,Algo pesada,Mucho más difícil,Algo largo,Mejor,0,1,0,0,
04_Muy bueno,4,4,4,4,5,5,5,5,5,módulos cortos de rápido avance,una evaluación final más corta de solo ver la cantidad de preguntas lancé varias al azar quizá prueba reprobatoria por cada unidad,4,3,5,3,5,3,1,1,cuestionarios diagnóstico y final muy largos solo verlos desmotiva el curso deberían hacer más pruebas pero más cortas en cuanto consultas las que están en debates jamás fueron respondidas,4,1,1,1,1,ni idea de quien era jamás se hizo presente ni respondió las dudas en debates,2,2,3,3,3,3,2,cuando nos cargaron el taller demoraron mucho tiempo en hacerlo pese la insistencia de los estudiantes,5,5,5,5,5,4,4,3,4,4,4,4,3,4,4,3,4,3,3,Algo pesada,Algo más difícil,Algo largo,Similar,0,1,0,0,que lo hagan de poco todo de una vez
04_Muy bueno,5,5,5,5,5,5,5,5,5,el paso paso del desarrollo de los ejercicios refresca la memoria,haber tenido más fresca la información muchos años sin ver estos contenidos,5,5,5,5,5,5,5,5,muy bueno todo el material aunque es mucha información imposible aprender tanto en tan poco tiempo,2,5,5,5,5,siempre han respondido todas mis consultas al igual que mis profesores,5,5,5,5,5,5,5,siempre prontos responder y ayudar,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Muy pesada,Mucho más difícil,Algo largo,Peor,0,0,1,0,tener una buena base en matemáticas y los conocimientos más frescos
04_Muy bueno,4,4,4,5,5,5,4,5,5,poder recordar conocimientos previos creo que incluso debería ser prerrequisito para aquellos que tienen continuidad de estudios para reactivar aprendizajes relevantes para el modulo,creo que fue bastante positivo,5,5,5,5,5,5,5,5,esta toda las informaciones buen estructuradas para poder estudiar conocimientos relacionados con calculo superior,5,5,5,5,5,por lo general apoye mas con la documentación subida tengo mucho mas que comentar,5,5,5,5,5,5,5,tengo mayores comentarios,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Algo más difícil,Apropiado,Similar,1,0,0,0,que le dediquen tiempo como si fuera un modulo mas puesto que apoya bastante enfrentar módulos mas complejos
04_Muy bueno,5,5,5,5,5,5,5,5,5,la forma explicativa de las ppt y la interacción,fue una buena experiencia,2,2,5,5,5,5,5,5,encontré los cuestionarios mencionados,1,2,2,2,2,tuve relación con el tutor del taller,2,2,2,2,2,2,2,tuve interacción con soporte,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Similar,Apropiado,Similar,1,0,0,0,prestar especial atención cada capsula
04_Muy bueno,4,4,4,5,4,4,4,4,4,los graficos claros,mas explicacion de pasos en los ejercicios,4,4,4,4,4,4,4,4,,4,4,4,4,4,,3,3,3,3,3,3,3,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Algo pesada,Algo más difícil,Algo largo,No tengo experiencia previa,0,1,0,0,
03_Neutral,3,3,3,3,2,3,3,3,3,,,3,3,3,3,3,3,3,3,,2,1,1,1,2,,2,2,2,2,3,2,2,,3,2,3,2,2,3,3,3,5,4,4,1,3,2,3,3,3,3,3,Algo pesada,Similar,Algo corto,No tengo experiencia previa,0,0,1,0,
03_Neutral,2,4,4,2,4,2,4,2,2,limites,con apps uno uno,2,2,2,3,3,3,3,3,tengo uso de soporte tecnico,4,3,3,3,3,nada que agregar,3,3,3,3,3,3,3,tuve oportunidad hablarles,1,1,2,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,Algo pesada,Algo más difícil,Algo corto,Mejor,0,1,0,0,estudiar via youtube
04_Muy bueno,5,5,5,5,5,5,5,5,5,desarrollo de los ejercicios,capsulas más interactivas,5,5,5,5,5,5,5,5,mejorar cápsulas,5,5,5,5,5,mejorar cápsulas,5,5,5,5,5,5,5,mejorar cápsulas,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Muy pesada,Algo más difícil,Algo largo,Mejor,0,0,0,1,interiorozarse más con las capsulas
