p01,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64
05_Excelente,5,5,5,4,4,4,4,4,4,los resumenes en los pdf que permite orientarse permanentemente,quizas mas ejemplos para su aplicacion,4,4,4,4,5,4,4,4,sin comentarios,4,4,4,4,4,parece que esta disposicion de responder toda duda de los estudiantes,4,4,4,4,4,4,4,instuitivo de poder solicitar ayuda,4,4,4,4,4,3,3,4,4,4,4,3,3,3,3,3,3,4,3,Algo pesada,Similar,Apropiado,Mejor,0,1,0,0,realizar con tiempo y dedicacion ya que hay mucho detalle en la materia
05_Excelente,5,5,5,5,5,5,5,5,5,el contenido en egeneral y nbsp nbsp la vez de ir contenstando preguntas del contenido que van describiendo,haber sido mas didactico con mas ejercicios para poder entender mejor el contenido,5,5,5,5,5,5,5,5,esta bien descrito el contenido estudiar y los materiales de apoyo al estudiante,1,4,2,5,5,,5,3,5,5,4,4,5,,4,4,5,4,4,3,5,4,4,5,5,3,4,3,5,5,5,3,4,,,,,1,1,0,1,
03_Neutral,3,3,3,4,3,3,4,3,3,,una explicacion,3,3,3,3,3,3,3,3,,4,3,3,3,3,,3,3,3,3,3,3,3,bueno,5,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Algo pesada,Algo más difícil,Algo largo,No tengo experiencia previa,0,1,0,0,realizar una retro alimentación
04_Muy bueno,4,3,4,4,4,4,4,4,4,la modalidad asincronica,horarios de dudas fijos con tutores,2,4,4,4,4,3,3,3,,4,3,3,2,3,,2,2,2,2,3,3,3,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Algo pesada,Algo más difícil,Algo largo,Similar,0,1,0,0,
04_Muy bueno,4,4,4,4,3,4,4,4,4,,,4,4,4,4,4,4,4,4,,4,4,4,4,4,,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Similar,Apropiado,Mejor,1,0,0,0,
03_Neutral,4,5,4,4,4,4,3,3,3,las alternativas,con más ejercicios,4,3,4,5,4,3,3,3,,2,3,2,1,4,tuve relación con el tutor,3,3,3,3,3,3,3,tuve comunicación,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,5,4,3,5,Apropiada,Algo más fácil,Algo largo,Similar,0,0,0,1,que lo revisen inicio del semestre unas semanas antes de iniciar cálculo
04_Muy bueno,5,5,4,4,5,5,5,4,4,calculo integral,consultas online,4,4,5,4,5,4,4,4,reforzo el conocimiento que tenia,5,3,4,4,4,respuestas idoneas,4,4,4,4,3,3,4,sin comunicacion con soporte,4,4,4,4,5,4,5,4,4,5,4,5,4,5,5,5,4,5,4,Algo pesada,Mucho más difícil,Apropiado,Mejor,1,1,1,1,estudiar
04_Muy bueno,4,4,4,4,4,4,4,4,4,los ejemplos de cada ejercicios,mas ejercicios,4,4,4,4,4,4,4,4,,5,4,4,4,4,,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Algo ligera,Algo más fácil,Algo corto,Mucho mejor,0,0,1,0,
03_Neutral,5,4,5,5,5,5,5,5,5,funciones por que es mi favorito,pareció bueno el contenido que se mostro,5,5,5,5,5,5,5,5,de acuerdo con el contenido para comenzar las pruebas oficiales es un buen repaso,4,5,5,5,5,sin comentarios,5,5,5,5,5,5,5,lo utilice,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Mucho más difícil,Demasiado largo,Mejor,0,1,0,0,que deben hacerlo con tiempo si verdaderamente quiere sacarle provecho ya que es bastante extenso
01_Deficiente,4,4,4,5,3,3,5,2,2,,,1,1,3,5,5,3,4,4,,3,3,3,3,3,,3,3,3,3,3,3,3,,5,5,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Muy pesada,Mucho más difícil,Demasiado largo,Peor,0,1,0,0,
04_Muy bueno,5,5,5,5,5,5,5,5,5,lo dinámico,tengo observaciones,5,5,5,5,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Similar,Algo largo,Mejor,0,1,0,0,
04_Muy bueno,5,5,5,5,5,5,5,5,5,gustó el contenido interactivo,siento que hay pocas cosas que se podrían cambiar quizas solo respecto visual,4,4,4,4,4,4,4,4,estuvo bien,4,5,4,4,4,por mi parte opte mucho por aplicar comunicacion,4,4,4,4,4,4,4,estuvo bien,4,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Similar,Algo largo,No tengo experiencia previa,0,1,0,0,que aprovechen el contenido entregado servirá para las evaluaciones
04_Muy bueno,5,4,4,5,5,5,5,5,5,algebra en la funciones se centra mas en sumar resta multiplicaciones y divisiones de la función,interacción con los taller y ejercicios relacionado al tema nbsp nbsp y ir interactuando con ellos,4,5,4,3,5,5,5,5,tengo nada que decir,5,5,5,5,5,explica detalladamente nbsp nbsp los tema relacionado con los ejercicios,5,5,5,5,5,5,5,esta todo relacionado del tema esta bien,5,5,5,4,5,4,4,4,4,3,3,4,3,3,3,4,4,4,4,Muy pesada,Algo más difícil,Algo largo,Similar,1,0,0,0,toda el material que nos entra es muy útil ya que aplicamos todo los que hemos aprendido
05_Excelente,5,5,5,5,5,5,5,5,5,todo,mucho,5,5,5,5,5,5,5,5,,5,4,4,4,4,tube necesidad de contactarlo,5,5,4,5,5,5,4,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Similar,Apropiado,Mejor,1,1,1,1,
05_Excelente,5,5,5,5,5,5,5,5,5,el repasar todos los contenidos en orden,sugerencias de paginas web para explicar en detalle los pasos,5,5,5,5,5,5,5,5,muy buen curso de repaso de las materias en cuestión,5,5,5,5,5,muy competente,5,5,5,5,5,5,5,muy competente,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Mucho más difícil,Apropiado,Mejor,1,1,0,0,realizar los ejercicios con tiempo
04_Muy bueno,4,5,4,4,5,5,5,4,4,enseñanza,comenzar con lo más básico ya que la mayoría de continuidad hemos olvidado la base,4,4,4,4,4,5,4,4,,4,4,4,5,3,,4,2,3,5,3,3,3,,4,4,2,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,Algo pesada,Algo más difícil,Algo largo,No tengo experiencia previa,0,1,0,0,realizar taller y complementar
05_Excelente,4,3,3,5,5,4,5,5,5,todo muy bien,muy bueno el taller,4,4,4,4,4,4,4,4,,1,4,4,4,4,,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,2,3,Muy pesada,Mucho más difícil,Demasiado largo,Similar,0,1,0,0,
05_Excelente,5,5,5,5,5,5,5,5,5,los contenidos con evaluaciones cada vez que avanzas con distintas unidades,lo encontre bueno,5,5,5,5,5,5,5,5,el taller es bueno por que revisa todas las unidades asociadas la matematicas y calculo,5,5,5,5,5,didáctico y amigable,5,5,5,5,5,5,5,consideran buen tiempo para la realización del taller,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Algo más difícil,Apropiado,Mejor,0,1,0,0,que realicen el taller por que ayuda bastante
05_Excelente,5,5,5,5,5,5,5,5,5,el final br,profesor en linea br,5,5,5,5,5,5,5,5,excelente,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo ligera,Algo más difícil,Demasiado largo,Mucho mejor,1,0,0,0,
04_Muy bueno,4,5,5,5,5,5,5,5,5,todas ya que sirve para reforzar,más comprensión en los desarrollos,4,5,5,5,5,5,5,5,las mejore,5,5,5,5,5,bastante apoyo,5,5,5,5,5,5,5,dan solucion,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Muy pesada,Mucho más difícil,Apropiado,Peor,0,0,1,0,que lo valoren
03_Neutral,3,3,3,3,3,3,3,3,3,,,3,3,3,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,Apropiada,Similar,Apropiado,Similar,0,1,0,0,
04_Muy bueno,3,4,3,3,4,3,4,3,4,,,3,4,4,3,4,3,4,4,,5,4,4,4,3,buena,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Algo pesada,Algo más difícil,Apropiado,Similar,1,0,0,0,realizarlo con mas tiempo
04_Muy bueno,5,5,4,5,5,5,5,5,5,algebra lineal,mas videos y mas ejemplos,5,5,5,5,5,5,5,5,todo excelente,4,4,3,4,4,todo bien,3,3,3,3,3,3,3,bueno,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Algo más difícil,Apropiado,Mejor,0,1,0,0,que estudien y practiquen
04_Muy bueno,4,4,4,4,4,4,4,4,4,,,4,4,4,4,4,4,4,4,,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Mucho más difícil,Apropiado,Mejor,0,0,0,1,
01_Deficiente,2,3,4,4,3,2,2,3,3,los ensayos y reforzamientos,con videos o clases de reforzamiento mas interactivas,3,3,3,3,3,3,3,3,,3,3,3,3,3,,3,3,3,3,3,3,3,responden rapido pero tego lsolo una experiencia,4,4,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,Muy pesada,Algo más difícil,Demasiado largo,Mucho peor,0,1,0,0,esforzarse y hacer nivelacion
04_Muy bueno,4,4,4,5,5,3,5,5,5,,si,5,5,5,5,5,5,5,5,,5,4,4,4,4,,5,4,4,4,4,4,4,,4,5,5,5,5,5,5,4,5,4,4,4,4,5,4,3,4,4,4,,,,,0,0,0,1,
04_Muy bueno,4,4,4,4,4,4,4,4,3,los ejercicios ya que si te equivocas te dan la respuesta correcta para así revisar los pasos errados,en ciertos ejercicios la explicación con más detalles,4,3,4,4,4,4,3,3,,4,4,4,4,4,,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,5,,,,,1,0,0,0,
04_Muy bueno,4,4,4,4,4,4,4,4,3,las explicaciones graficas,sin observaciones,4,4,4,4,4,4,4,4,,4,3,3,3,3,,3,3,3,3,3,3,3,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Algo más difícil,Apropiado,Mejor,0,1,0,0,
03_Neutral,4,3,3,4,4,3,4,3,3,la información,con mayor interacción,3,3,4,4,4,4,4,4,es bastante complejo,3,2,2,2,2,ninguna,2,2,2,2,2,2,2,ninguna,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,Algo pesada,Algo más difícil,Demasiado largo,Similar,0,0,1,1,deben estudiar harto
04_Muy bueno,4,4,4,4,4,5,5,4,3,las preguntas interactivas,bastante,4,3,5,4,5,4,4,4,bastante complicadas,4,5,1,1,4,tuve interacción con el tutor,4,4,4,3,2,3,2,hubo tal experiencia,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Muy pesada,Mucho más difícil,Algo largo,No tengo experiencia previa,0,0,1,0,que aprovechen muy bien esta materia
05_Excelente,5,5,5,5,5,5,5,5,5,,,5,5,5,5,5,5,5,5,,4,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Similar,Demasiado largo,No tengo experiencia previa,0,0,0,1,tomen apuntes
05_Excelente,5,5,5,5,5,5,5,5,5,lograr aprender,mas didactico,5,5,5,5,5,5,5,5,reforcé mis conocimientos,4,4,4,4,4,reforcé mis conocimientos,5,5,5,5,5,5,5,reforcé mis conocimientos,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Similar,Algo largo,Similar,0,0,0,1,realizar todas la actividades
04_Muy bueno,5,5,5,5,5,5,5,5,5,todas las capsulas fueron un aporte,puede mejorar mi experiencia si se puede utilizar por toda la carrera,5,5,5,5,5,5,5,5,fueron muy complejas pero abordables con el aprendizaje,5,5,4,5,4,super fluido,5,5,5,5,5,4,5,tuve problemas,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,,,,1,1,0,1,
05_Excelente,5,5,5,5,5,5,5,5,5,,,5,3,4,5,2,5,5,5,,4,3,1,3,3,,3,1,3,4,3,5,4,,4,3,2,4,4,3,4,4,4,4,3,3,4,5,3,4,4,3,4,,,,,1,0,0,0,
05_Excelente,5,5,4,5,5,5,4,4,5,la claridad en la enseñanza y ejemplos prácticos porque hicieron más fácil entender conceptos complejos,incluir más ejercicios prácticos interactivos o sesiones adicionales de preguntas,4,4,5,4,5,4,5,4,la variedad de materiales cuestionarios cápsulas y pdfs facilitó un aprendizaje profundo y versátil,4,5,4,5,5,el tutor fue paciente respondió claramente las consultas y aportó ejemplos útiles que reforzaron mi aprendizaje,5,5,4,5,5,5,5,el equipo de soporte resolvió rápidamente los problemas técnicos y siempre fue cortés y amable,4,4,4,4,4,5,5,4,4,4,4,5,5,4,4,5,3,3,3,Apropiada,Similar,Apropiado,Mejor,0,1,0,0,mejor complento con clases con profesores
04_Muy bueno,4,5,4,5,5,4,4,5,4,en general cada uno de los componentes entrega un reforzamiento de las materias,esta bien,4,5,5,4,5,4,5,5,todo bien solo que siempre se puede mejorar mas pero en general excelente,5,4,4,4,5,,5,5,5,5,5,5,5,comunique con soporte,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,Muy pesada,Mucho más difícil,Demasiado largo,Mejor,0,1,0,0,que lo realicen con tiempo
04_Muy bueno,5,5,5,5,5,5,5,5,5,,,5,5,5,5,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Similar,Apropiado,Similar,0,0,1,0,
03_Neutral,3,3,3,3,3,2,3,3,1,todo,interaccion con profesor,3,3,3,3,3,3,3,3,es todo lo señalado,3,3,3,3,3,es todo,3,3,3,3,3,3,3,es todo,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Apropiada,Algo más fácil,Apropiado,Similar,0,1,0,0,es todo
03_Neutral,4,4,4,4,4,5,5,4,5,dinamica,respuestas mas claras,4,5,4,5,1,3,3,4,,3,2,2,2,3,,4,3,3,3,4,4,5,,3,4,2,4,4,3,3,5,4,4,3,3,3,3,4,5,4,4,5,,,,,0,1,0,0,
03_Neutral,4,5,5,5,3,2,3,3,2,,,3,3,2,4,4,4,4,4,,4,3,3,3,3,,2,3,3,3,4,5,3,,3,3,3,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,Algo pesada,Algo más difícil,Demasiado largo,No tengo experiencia previa,0,1,0,0,
05_Excelente,5,5,5,5,5,5,5,5,5,los videos estan bien completos,por mi parte tener mas tiempo,5,5,5,5,5,5,5,5,,5,5,4,5,5,tuve interaccion,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Similar,Demasiado largo,Similar,1,0,0,0,que realicen el curso con tiempo y tranquilidad
04_Muy bueno,4,4,4,4,4,4,4,4,4,todas por que todas ayudaron refrescar conocimientos pasados,esta todo bien,4,4,4,4,4,4,4,4,,4,4,4,4,4,bien,4,4,4,4,4,4,4,todo bien,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Algo más difícil,Algo largo,Mejor,0,1,0,0,que hagan el taller pues
04_Muy bueno,5,5,5,5,5,5,5,5,5,la interaccion con la plataforma,md ayudo recordando conocimientos pasados,5,4,5,3,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Apropiada,Algo más fácil,Apropiado,Mucho mejor,0,1,0,0,
03_Neutral,4,4,5,2,3,4,3,3,3,los contenidos y ejercicios desarrollados,explicar ejercicios de vectores,4,3,5,3,3,4,3,5,siento que existieron razones para poder hacer este curso de nivelación lo cual es beneficioso para nosotros como alumnos,4,3,1,1,4,,2,3,3,3,3,3,3,,4,4,4,4,4,4,2,2,4,5,3,4,3,5,5,5,5,5,5,Algo pesada,Algo más difícil,Algo largo,Peor,0,0,0,1,
05_Excelente,5,5,5,5,5,4,4,4,4,todo,fue buena experiencia,4,4,4,4,5,4,5,4,buenas,4,4,4,4,4,buena experiencia,4,4,4,4,4,4,4,bueno equipo de soporte,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Algo pesada,Algo más difícil,Apropiado,Mejor,0,1,0,0,que lo utilicen es muy bueno
03_Neutral,4,4,3,3,3,3,4,4,4,el audio,mas ilustraciones,4,4,4,4,4,4,4,4,,3,4,4,4,4,,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Algo pesada,Algo más fácil,Algo largo,Similar,1,0,0,0,
04_Muy bueno,5,5,5,5,5,5,5,5,5,,,5,5,5,5,5,5,5,5,,5,5,5,5,5,,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Mucho más difícil,Algo corto,Mucho mejor,0,1,0,0,
04_Muy bueno,4,5,4,5,4,4,4,4,3,,,4,3,4,5,4,4,4,4,,4,2,2,2,3,,3,3,3,3,3,3,3,,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Algo pesada,Similar,Algo largo,Mejor,0,1,0,0,
04_Muy bueno,4,4,4,5,4,4,4,4,4,cápsulas y pdf por el nivel de aprendizaje,mayor comprensión de los contenidos estudiados,4,4,4,4,4,4,4,4,publicar contenido más paso paso como realizar los ejercicios,4,3,3,3,3,comparti ninguna experiencia con el tutor del taller,3,3,3,3,3,3,3,tuve esperiencia con el equipo de soporte,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Algo más fácil,Apropiado,Similar,1,0,0,0,realizar el taller cuando este disponible es de gran ayuda
04_Muy bueno,4,4,4,5,4,4,5,5,5,las clases interactivas porque se puede practicar,está bien como está,4,3,5,2,5,4,5,5,hay ítems que utilicé,5,4,4,4,4,tuve tutor de taller,4,4,4,5,4,5,4,creo haber solicitado soporte,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Algo pesada,Similar,Algo largo,Mejor,1,0,1,0,que lo cursen
01_Deficiente,3,1,1,1,3,1,1,1,1,ninguna creo que el taller es debe ser creado para personas que tenemos conocimiento nulo entiendo las formulas pero la explicacion,nada,2,1,2,1,5,1,1,1,ntegonada que añadir solo que realicen el taller con mejores explicaciones tan tecnicas,1,4,4,1,1,nada,1,1,1,1,1,1,1,nada,4,4,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Muy pesada,Mucho más difícil,Apropiado,Mucho peor,1,0,0,0,
05_Excelente,5,5,5,5,5,5,5,5,5,todas porque permitió recordar materia muy lejana,en la comprensión,5,2,5,3,4,4,5,5,muy malas por el momento,4,3,4,5,5,muy buena,5,4,5,5,5,5,3,buenísima,5,5,5,5,5,5,5,5,5,3,3,4,4,4,3,3,3,4,4,Apropiada,Mucho más difícil,Apropiado,Mucho mejor,0,1,0,0,desarrollarlo
03_Neutral,3,3,3,3,3,3,3,3,3,la certificación,dándole un orden lógico empezó de mas difícil mas fácil,1,2,2,3,2,1,1,1,los talleres son mas fáciles y demasiado fácil de evadir,2,1,1,2,2,agrado mucho prefiero responder,2,2,1,1,2,2,3,tuve contacto con soporte,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Apropiada,Similar,Apropiado,Similar,0,1,0,0,que sean honestos
02_No muy bueno,3,3,2,4,3,2,3,3,2,para mi ninguna,verificando la calidad de la base de conocimiento de los alumnos,3,3,3,3,2,3,3,3,nose que preguntaba,3,3,3,3,3,tuve contacto con el,3,3,3,3,3,3,3,tuve contacto con ellos,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Algo pesada,Algo más difícil,Algo corto,No tengo experiencia previa,0,0,0,1,deben utilizar todas las herramientas existentes para aprender los contenidos
05_Excelente,5,5,5,5,5,5,5,5,5,,,4,3,4,5,5,4,3,3,,5,5,4,4,4,,5,4,4,4,4,4,4,,4,4,5,3,4,3,5,4,5,4,4,4,3,4,4,3,4,4,3,,,,,1,1,1,1,
05_Excelente,5,5,5,5,5,5,5,5,5,cuando daban ejemplo antes de poner la pregunta en las capsulas,mucha información muy contenida pasadas algunas materias es contenido que jamás visto por lo que entró toda la información,4,4,5,5,5,5,5,5,todo,5,5,5,5,5,tuve,5,5,5,5,5,5,5,tuve necesidad,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Muy pesada,Algo más difícil,Apropiado,Mucho mejor,0,1,0,0,la capsula dice polimonios cuando debería decir polinomios
05_Excelente,5,5,5,5,5,5,5,5,5,la explicacion de los videos,falta tiempo,5,5,5,5,5,5,5,5,la verdfad lo realice muy apurado,5,5,5,5,5,excelente explicaciones,5,5,5,5,5,5,5,utilice ese recurso,5,5,5,5,5,5,4,4,4,4,4,5,4,3,5,4,3,4,3,Apropiada,Algo más difícil,Apropiado,Similar,0,1,0,0,que pongan enfasis en el taller que es muy productivo
03_Neutral,4,5,4,5,5,5,4,3,3,los videos,más guías de ejercicio,5,3,5,5,4,3,3,2,sin mucho más que aportar,4,2,2,3,5,los videos pasan muy rápido faltan guías de ejercicios,5,4,5,5,3,3,4,es difícil acceder los documentos pdf,1,1,2,2,3,3,3,2,2,3,2,3,3,2,3,3,3,2,3,Apropiada,Mucho más difícil,Apropiado,Similar,0,1,0,0,
05_Excelente,5,5,5,5,5,5,5,5,5,en general la preocupación de la nivelación de nuestros conocimientos matematicos,estuvo todo bien,5,5,5,5,5,5,5,5,todo bien,5,5,5,5,5,hubo mayor necesidad de contactarlo la disciplina y el auto estudio es muy importante,5,5,5,5,5,5,5,todo bien,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Apropiada,Algo más difícil,Apropiado,Mejor,0,1,0,0,paciencia concentración coraje
03_Neutral,4,4,4,4,4,4,4,4,4,,,5,5,5,5,5,5,5,5,,5,4,5,4,3,,4,4,3,5,5,4,5,,5,5,4,4,4,4,3,5,4,5,4,4,4,5,5,5,5,5,5,Apropiada,Similar,Apropiado,Similar,0,0,1,0,
04_Muy bueno,4,4,4,5,4,4,4,4,4,al ser un taller interactivo te incentiva continuar con las clases,tener un profesor en el cual te dicte las dudas con mayor facilidad,4,4,4,4,3,3,3,3,es lo justo y necesario,3,3,3,4,3,hubo tanta interaccion,4,4,4,4,4,4,4,fue efectivo y claro,4,4,4,5,4,3,4,4,4,3,3,3,3,4,3,3,3,4,4,Algo pesada,Similar,Algo largo,Similar,0,1,0,0,realizar el taller con determinacion y tiempo ya que al ser un taller sumativo es de suma importancia el estar alineado con las clases la que corresponde
03_Neutral,3,4,3,4,3,4,3,2,3,destaco ninguna en particular,es mucha información el taller hubiera preferido para este taller de apoyo clases sincronicas de reforzamiento,3,3,3,3,4,3,3,3,considero que este taller tiene mucha información para lo que dura,4,4,1,3,3,tuve tutor lo encontre que falta en caso de ser necesario,3,4,3,3,3,4,4,utilizado,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,Muy pesada,Mucho más difícil,Demasiado largo,Peor,0,1,0,0,
04_Muy bueno,5,5,5,5,5,5,5,5,5,los videos son claros en la exposición y muy didácticos para quienes llevábamos años alejados de las matemáticas,mi juicio esta perfecta la metodologia,5,5,5,4,4,5,5,5,tengo reparos acerca de las calificaciones,1,4,4,5,5,el tutor estuvo presente ante cualquier requerimiento,4,4,4,4,4,4,4,siempre que solicito su ayuda se hizo presente,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,Apropiada,Algo más difícil,Algo largo,Mejor,0,0,0,1,totalmente recomendable
05_Excelente,5,5,5,5,5,5,5,5,5,los ejercisios desarrollar,el aprendizaje adquirido,5,5,5,5,5,5,5,5,en cuanto las calificaciones anteriores esta bien evaluado,5,5,5,5,5,dinámico y muy efectivo,5,5,5,5,5,5,5,hubo problema siempre dispuesto ayudar,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Algo pesada,Mucho más difícil,Apropiado,Mejor,1,1,1,1,que lo tome ya que le ayudara aclarar dudas y le servirá para ejercitar
